year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1992,2647093844441.2134,38927850653.54726,8385,apecosm,ipsl,historical
1993,2622415682810.159,38564936511.91411,8385,apecosm,ipsl,historical
1994,2743847366827.9556,40350696570.99935,8385,apecosm,ipsl,historical
1995,2751267353321.6953,40459814019.43669,8385,apecosm,ipsl,historical
1996,2664790240483.1577,39188091771.81114,8385,apecosm,ipsl,historical
1997,2675016809662.7593,39338482495.04058,8385,apecosm,ipsl,historical
1998,2717243692071.782,39959466059.87915,8385,apecosm,ipsl,historical
1999,2634460932414.34,38742072535.505,8385,apecosm,ipsl,historical
2000,2433877441793.5117,35792315320.49281,8385,apecosm,ipsl,historical
2001,2608802465431.847,38364742138.703636,8385,apecosm,ipsl,historical
2002,2808514402512.932,41301682389.89606,8385,apecosm,ipsl,historical
2003,2905892501849.856,42733713262.49788,8385,apecosm,ipsl,historical
2004,2768955774048.241,40719937853.650604,8385,apecosm,ipsl,historical
2005,2789956917657.5913,41028778200.84693,8385,apecosm,ipsl,historical
2006,2812855968089.3955,41365528942.49111,8385,apecosm,ipsl,historical
2007,2651227612951.9253,38988641366.94008,8385,apecosm,ipsl,historical
2008,2698314744630.1904,39681099185.7381,8385,apecosm,ipsl,historical
2009,2739387065914.86,40285103910.51265,8385,apecosm,ipsl,historical
2010,2710864450155.584,39865653678.75859,8385,apecosm,ipsl,historical
